Year	Male_pop	Female_pop
2022	72988	69768
2023	73805	70587
2024	74543	71463
2025	75223	72302
2026	75858	73119
2027	76336	73887
2028	76900	74499
2029	77330	75138
2030	77751	75630
2031	78120	76035
2032	78375	76503
2033	78539	76877
2034	78623	77183
2035	78713	77380
2036	78831	77596
2037	78850	77761
2038	78829	77906
2039	78821	77998
2040	78737	78098
2041	78700	78238
2042	78550	78327
2043	78546	78426
2044	78516	78562
2045	78515	78736
2046	78542	78862
2047	78630	79034
2048	78674	79209
2049	78724	79491
2050	78813	79806
2051	78901	79975
2052	78914	80119
2053	78926	80332
2054	78850	80422
2055	78703	80451
2056	78548	80408
2057	78344	80316
2058	78101	80258
2059	77821	80089
2060	77589	79871
2061	77316	79613
2062	77088	79325
2063	76763	79105
2064	76506	78835
2065	76199	78580
2066	75910	78327
2067	75636	78145
2068	75371	77951
2069	75189	77739
2070	75044	77576
2071	74872	77404
2072	74753	77413
2073	74678	77360
2074	74680	77382
2075	74599	77350
2076	74625	77355
2077	74614	77319
2078	74632	77373
2079	74622	77358
2080	74562	77272
2081	74575	77274
2082	74523	77315
2083	74476	77225
2084	74367	77189
2085	74249	77198
2086	74176	77159
2087	74098	77107
2088	74024	77061
2089	73940	77048
2090	73839	77075
2091	73810	77076
2092	73772	77150
2093	73772	77249
2094	73825	77417
2095	73865	77495
2096	73884	77684
2097	73953	77772
2098	74031	77970
2099	74157	78113
2100	74229	78350
2101	74274	78575
2102	74288	78737
2103	74409	78917
2104	74480	79062
2105	74487	79225
2106	74512	79336
2107	74559	79481
2108	74586	79580
2109	74608	79706
2110	74652	79812
2111	74760	79901
2112	74788	79973
2113	74834	80088
2114	74917	80175
2115	74939	80203
2116	75027	80387
2117	75136	80359
2118	75307	80427
2119	75374	80516
2120	75452	80582
2121	75577	80732
2122	75689	80885
2123	75805	81106
2124	75897	81283
2125	76027	81394
2126	76173	81550
2127	76393	81717
2128	76526	81836
2129	76625	81986
2130	76713	82140
2131	76765	82143
2132	76872	82287
2133	76953	82390
2134	77143	82524
2135	77246	82704
2136	77303	82787
2137	77341	82875
2138	77407	82975
2139	77410	83103
2140	77491	83221
2141	77594	83365
2142	77725	83437
2143	77907	83553
2144	78063	83742
2145	78135	83864
2146	78260	83961
2147	78396	84123
2148	78536	84261
2149	78710	84453
