Year	Male_pop	Female_pop
2022	73557	70329
2023	74926	71716
2024	76205	73109
2025	77340	74428
2026	78509	75653
2027	79631	76974
2028	80681	78097
2029	81563	79193
2030	82442	80199
2031	83200	81099
2032	83934	81957
2033	84588	82665
2034	85092	83331
2035	85507	83920
2036	85859	84479
2037	86157	84951
2038	86478	85356
2039	86732	85756
2040	87079	86208
2041	87402	86615
2042	87779	87139
2043	88202	87701
2044	88721	88319
2045	89425	89126
2046	90260	90081
2047	91190	91110
2048	92202	92212
2049	93231	93365
2050	94296	94610
2051	95341	95833
2052	96442	97070
2053	97473	98240
2054	98519	99297
2055	99560	100303
2056	100390	101303
2057	101200	102239
2058	101943	103097
2059	102575	103953
2060	103193	104761
2061	103775	105489
2062	104306	106179
2063	104913	106794
2064	105406	107469
2065	106078	108074
2066	106742	108854
2067	107534	109652
2068	108380	110615
2069	109386	111707
2070	110591	112939
2071	111835	114277
2072	113172	115753
2073	114678	117290
2074	116227	118994
2075	117886	120737
2076	119562	122596
2077	121218	124424
2078	122963	126230
2079	124793	128004
2080	126392	129812
2081	128047	131613
2082	129746	133380
2083	131446	135069
2084	133112	136798
2085	134787	138392
2086	136481	140126
2087	138123	141653
2088	139720	143337
2089	141438	145152
2090	143195	147014
2091	145013	148969
2092	146939	150991
2093	148865	153244
2094	151113	155545
2095	153317	157986
2096	155755	160446
2097	158277	163094
2098	161032	165837
2099	163678	168599
2100	166315	171491
2101	169193	174423
2102	171886	177485
2103	174581	180454
2104	177435	183327
2105	180079	186243
2106	182765	189157
2107	185439	191979
2108	188083	194926
2109	190876	197648
2110	193461	200560
2111	196146	203445
2112	198775	206130
2113	201538	208983
2114	204424	211839
2115	207273	214798
2116	210130	217883
2117	213120	220982
2118	216233	224132
2119	219570	227710
2120	222986	231292
2121	226449	235089
2122	230015	238856
2123	233750	242832
2124	237645	246844
2125	241401	250865
2126	245238	254892
2127	249190	258879
2128	253023	263013
2129	257044	267106
2130	261031	271400
2131	265027	275582
2132	268907	279973
2133	272975	284214
2134	277113	288438
2135	281208	292648
2136	285286	296759
2137	289540	301066
2138	293726	305138
2139	298055	309551
2140	302522	314168
2141	306914	318728
2142	311439	323309
2143	316145	328151
2144	321033	333219
2145	326052	338348
2146	331187	343743
2147	336586	349167
2148	341955	354710
2149	347349	360438
