Year	Male_pop	Female_pop
2022	72635	69324
2023	72940	69760
2024	73293	70203
2025	73550	70690
2026	73741	71059
2027	73982	71386
2028	74079	71595
2029	74196	71869
2030	74244	72126
2031	74198	72284
2032	74188	72429
2033	74078	72490
2034	73937	72478
2035	73780	72427
2036	73606	72353
2037	73312	72252
2038	73026	72153
2039	72716	71972
2040	72448	71784
2041	72131	71667
2042	71725	71434
2043	71234	71219
2044	70864	70953
2045	70460	70764
2046	70071	70497
2047	69614	70195
2048	69208	69816
2049	68779	69446
2050	68283	69091
2051	67703	68742
2052	67157	68321
2053	66638	67895
2054	66030	67401
2055	65389	66858
2056	64699	66322
2057	63999	65796
2058	63251	65181
2059	62514	64566
2060	61743	63967
2061	61052	63333
2062	60310	62642
2063	59478	61904
2064	58696	61156
2065	57884	60449
2066	57098	59706
2067	56317	58988
2068	55570	58223
2069	54851	57456
2070	54071	56693
2071	53338	55928
2072	52576	55227
2073	51810	54533
2074	51037	53833
2075	50263	53133
2076	49574	52433
2077	48836	51675
2078	48155	50969
2079	47460	50239
2080	46757	49543
2081	46015	48864
2082	45288	48121
2083	44617	47377
2084	43932	46705
2085	43228	46010
2086	42537	45275
2087	41840	44630
2088	41210	43928
2089	40578	43278
2090	39877	42712
2091	39287	42023
2092	38613	41412
2093	38025	40816
2094	37392	40218
2095	36842	39660
2096	36254	39106
2097	35704	38535
2098	35192	37971
2099	34694	37512
2100	34195	36999
2101	33651	36516
2102	33139	36031
2103	32666	35602
2104	32127	35095
2105	31647	34640
2106	31181	34187
2107	30713	33706
2108	30266	33265
2109	29849	32782
2110	29408	32301
2111	28970	31845
2112	28548	31443
2113	28105	30991
2114	27696	30527
2115	27310	30015
2116	26928	29587
2117	26545	29174
2118	26162	28798
2119	25815	28396
2120	25433	28003
2121	25094	27622
2122	24762	27225
2123	24413	26874
2124	24082	26517
2125	23745	26148
2126	23399	25815
2127	23072	25434
2128	22738	25076
2129	22426	24744
2130	22132	24401
2131	21809	24073
2132	21521	23748
2133	21209	23432
2134	20924	23082
2135	20602	22760
2136	20339	22449
2137	20091	22083
2138	19826	21773
2139	19547	21464
2140	19256	21170
2141	19001	20862
2142	18725	20567
2143	18489	20249
2144	18195	20008
2145	17940	19747
2146	17688	19486
2147	17450	19233
2148	17248	19005
2149	16978	18763
