Year	Male_pop	Female_pop
2022	71722	68491
2023	71230	68123
2024	70725	67752
2025	70198	67358
2026	69627	66926
2027	69037	66498
2028	68479	66049
2029	67843	65602
2030	67177	65085
2031	66541	64596
2032	65896	64092
2033	65239	63529
2034	64556	63008
2035	63817	62426
2036	63104	61836
2037	62326	61228
2038	61582	60587
2039	60788	59912
2040	59924	59241
2041	59069	58562
2042	58206	57836
2043	57269	57107
2044	56347	56332
2045	55371	55583
2046	54459	54774
2047	53499	53983
2048	52535	53124
2049	51531	52291
2050	50496	51415
2051	49440	50536
2052	48410	49558
2053	47364	48632
2054	46221	47661
2055	45122	46687
2056	43978	45682
2057	42842	44643
2058	41725	43596
2059	40584	42551
2060	39406	41484
2061	38294	40401
2062	37178	39298
2063	36062	38226
2064	34862	37120
2065	33702	36013
2066	32589	34895
2067	31453	33801
2068	30347	32689
2069	29245	31604
2070	28162	30500
2071	27082	29387
2072	26050	28248
2073	24994	27242
2074	23881	26118
2075	22873	25021
2076	21822	23972
2077	20789	22938
2078	19791	21934
2079	18779	20880
2080	17751	19909
2081	16864	18940
2082	15900	17964
2083	14972	17053
2084	14065	16082
2085	13171	15181
2086	12295	14230
2087	11498	13357
2088	10687	12505
2089	9850	11705
2090	9129	10906
2091	8384	10125
2092	7688	9368
2093	7013	8646
2094	6404	7930
2095	5796	7264
2096	5230	6614
2097	4686	5978
2098	4177	5406
2099	3699	4851
2100	3257	4341
2101	2870	3827
2102	2492	3367
2103	2162	2953
2104	1853	2588
2105	1591	2254
2106	1355	1933
2107	1143	1652
2108	964	1393
2109	803	1162
2110	656	976
2111	523	819
2112	421	674
2113	331	556
2114	271	443
2115	222	344
2116	173	272
2117	144	216
2118	111	172
2119	77	134
2120	53	97
2121	33	65
2122	22	46
2123	15	32
2124	12	22
2125	6	15
2126	3	11
2127	1	7
2128	1	4
2129	0	3
2130	0	3
2131	0	2
2132	0	1
2133	0	1
2134	0	1
2135	0	1
2136	0	0
2137	0	0
2138	0	0
2139	0	0
2140	0	0
2141	0	0
2142	0	0
2143	0	0
2144	0	0
2145	0	0
2146	0	0
2147	0	0
2148	0	0
2149	0	0
