Year	Male_pop	Female_pop
2022	73021	69801
2023	73779	70726
2024	74624	71578
2025	75339	72500
2026	76053	73378
2027	76738	74154
2028	77286	74890
2029	77775	75607
2030	78180	76223
2031	78504	76802
2032	78886	77253
2033	79115	77638
2034	79306	77930
2035	79403	78162
2036	79553	78369
2037	79634	78605
2038	79663	78794
2039	79586	79004
2040	79575	79110
2041	79535	79310
2042	79514	79358
2043	79608	79562
2044	79595	79744
2045	79702	79970
2046	79840	80202
2047	79971	80444
2048	80074	80784
2049	80261	81176
2050	80420	81526
2051	80611	81853
2052	80811	82090
2053	80976	82376
2054	81003	82653
2055	80978	82731
2056	80961	82792
2057	80859	82819
2058	80805	82955
2059	80598	82846
2060	80464	82775
2061	80197	82703
2062	79934	82457
2063	79790	82279
2064	79589	82141
2065	79343	82007
2066	79175	81898
2067	79014	81805
2068	78886	81693
2069	78745	81624
2070	78684	81532
2071	78694	81528
2072	78629	81613
2073	78773	81745
2074	78872	81911
2075	79015	82060
2076	79086	82166
2077	79296	82266
2078	79365	82352
2079	79609	82492
2080	79695	82539
2081	79792	82609
2082	79961	82615
2083	80048	82679
2084	80053	82878
2085	80115	83016
2086	80199	83086
2087	80245	83112
2088	80271	83154
2089	80323	83251
2090	80416	83400
2091	80521	83593
2092	80628	83814
2093	80920	84060
2094	81096	84387
2095	81341	84655
2096	81616	84982
2097	81876	85271
2098	82099	85683
2099	82356	85988
2100	82656	86376
2101	82896	86752
2102	83147	87101
2103	83417	87493
2104	83614	87898
2105	83822	88258
2106	84091	88515
2107	84301	88722
2108	84497	88982
2109	84698	89243
2110	84902	89486
2111	85104	89654
2112	85334	89875
2113	85573	90036
2114	85738	90301
2115	86062	90506
2116	86345	90730
2117	86499	90969
2118	86703	91266
2119	86961	91454
2120	87255	91815
2121	87558	92145
2122	87854	92518
2123	88183	92893
2124	88495	93216
2125	88808	93561
2126	89126	93986
2127	89449	94318
2128	89751	94756
2129	90022	95143
2130	90394	95388
2131	90641	95673
2132	90982	95971
2133	91175	96203
2134	91452	96432
2135	91632	96642
2136	91967	96931
2137	92154	97217
2138	92385	97405
2139	92636	97669
2140	92871	97903
2141	93146	98184
2142	93425	98486
2143	93729	98788
2144	94065	99065
2145	94317	99406
2146	94603	99731
2147	94904	100132
2148	95193	100428
2149	95594	100754
