Year	Male_pop	Female_pop
2022	72496	69280
2023	72765	69678
2024	73054	70114
2025	73301	70476
2026	73489	70774
2027	73651	71070
2028	73760	71312
2029	73836	71584
2030	73822	71729
2031	73756	71751
2032	73708	71790
2033	73533	71772
2034	73337	71781
2035	73128	71663
2036	72846	71558
2037	72558	71431
2038	72249	71333
2039	71910	71152
2040	71531	71015
2041	71168	70796
2042	70794	70540
2043	70356	70315
2044	69952	70034
2045	69534	69642
2046	69080	69380
2047	68580	68986
2048	68045	68666
2049	67453	68287
2050	66869	67847
2051	66331	67445
2052	65753	67044
2053	65127	66552
2054	64452	66065
2055	63753	65445
2056	62994	64816
2057	62198	64144
2058	61399	63493
2059	60637	62823
2060	59846	62088
2061	59083	61307
2062	58329	60588
2063	57504	59824
2064	56662	59104
2065	55863	58272
2066	54997	57499
2067	54105	56728
2068	53234	55940
2069	52384	55144
2070	51503	54281
2071	50647	53466
2072	49838	52639
2073	49104	51854
2074	48250	51022
2075	47425	50280
2076	46702	49491
2077	45953	48749
2078	45144	47987
2079	44354	47199
2080	43544	46346
2081	42709	45585
2082	42000	44778
2083	41282	44028
2084	40579	43305
2085	39834	42553
2086	39084	41837
2087	38358	41144
2088	37622	40398
2089	36924	39730
2090	36176	38999
2091	35566	38299
2092	34951	37642
2093	34300	37038
2094	33715	36439
2095	33064	35892
2096	32425	35307
2097	31836	34738
2098	31259	34145
2099	30700	33619
2100	30161	33021
2101	29619	32530
2102	29112	32013
2103	28587	31507
2104	28064	31004
2105	27553	30487
2106	26993	29999
2107	26499	29512
2108	25995	29036
2109	25566	28539
2110	25121	28092
2111	24739	27584
2112	24290	27130
2113	23812	26667
2114	23407	26178
2115	22943	25746
2116	22533	25315
2117	22169	24896
2118	21777	24464
2119	21408	24076
2120	21056	23674
2121	20712	23322
2122	20386	22941
2123	20037	22597
2124	19717	22250
2125	19347	21887
2126	19059	21516
2127	18733	21175
2128	18451	20847
2129	18167	20502
2130	17850	20154
2131	17568	19855
2132	17277	19491
2133	16984	19155
2134	16728	18824
2135	16435	18523
2136	16173	18221
2137	15879	17925
2138	15633	17657
2139	15408	17339
2140	15151	17055
2141	14909	16776
2142	14652	16479
2143	14411	16229
2144	14177	15953
2145	13927	15686
2146	13716	15420
2147	13512	15144
2148	13287	14883
2149	13052	14643
