Year	Male_pop	Female_pop
2022	72320	69115
2023	72460	69333
2024	72495	69561
2025	72553	69684
2026	72585	69803
2027	72614	69952
2028	72523	70025
2029	72413	70060
2030	72277	70040
2031	72060	70005
2032	71780	69967
2033	71449	69857
2034	71121	69701
2035	70797	69471
2036	70417	69278
2037	70025	69006
2038	69619	68747
2039	69150	68411
2040	68688	68122
2041	68181	67830
2042	67680	67427
2043	67191	67003
2044	66657	66592
2045	66099	66152
2046	65461	65647
2047	64780	65143
2048	64093	64670
2049	63445	64099
2050	62694	63549
2051	61957	62907
2052	61175	62272
2053	60358	61563
2054	59551	60869
2055	58669	60144
2056	57835	59388
2057	56912	58619
2058	56005	57899
2059	55075	56983
2060	54127	56137
2061	53215	55225
2062	52243	54305
2063	51292	53389
2064	50319	52479
2065	49366	51523
2066	48381	50551
2067	47386	49674
2068	46337	48739
2069	45382	47797
2070	44453	46857
2071	43506	45909
2072	42553	44976
2073	41595	44020
2074	40695	43053
2075	39737	42137
2076	38855	41214
2077	37906	40255
2078	36924	39369
2079	35984	38483
2080	35118	37527
2081	34192	36656
2082	33350	35758
2083	32505	34902
2084	31663	34030
2085	30793	33134
2086	29950	32277
2087	29126	31486
2088	28352	30668
2089	27558	29864
2090	26769	29064
2091	26021	28331
2092	25297	27570
2093	24625	26853
2094	23928	26136
2095	23220	25403
2096	22588	24788
2097	21981	24125
2098	21339	23473
2099	20723	22849
2100	20114	22272
2101	19563	21696
2102	18986	21104
2103	18407	20569
2104	17871	20060
2105	17367	19527
2106	16870	19022
2107	16402	18517
2108	15944	18007
2109	15500	17526
2110	15083	17066
2111	14646	16640
2112	14229	16180
2113	13822	15731
2114	13442	15328
2115	13084	14927
2116	12729	14524
2117	12375	14137
2118	12083	13790
2119	11776	13416
2120	11429	13058
2121	11112	12658
2122	10824	12302
2123	10525	11982
2124	10269	11649
2125	10010	11331
2126	9746	11050
2127	9520	10746
2128	9278	10465
2129	9045	10216
2130	8798	9957
2131	8561	9683
2132	8343	9417
2133	8118	9156
2134	7906	8918
2135	7677	8666
2136	7437	8429
2137	7253	8215
2138	7050	8004
2139	6836	7809
2140	6657	7619
2141	6480	7410
2142	6297	7206
2143	6119	7013
2144	5946	6798
2145	5790	6603
2146	5641	6412
2147	5503	6243
2148	5372	6093
2149	5227	5899
